,importance
V14,0.20123098434912406
V17,0.1796487122978498
V10,0.12020600366486074
V4,0.07896331521049736
V12,0.07796799638777346
V2,0.06471452913397974
V16,0.04108314543332513
V7,0.028128706773190505
V6,0.025924779612930472
V3,0.016676376609105613
Amount_log,0.014945032513286138
V27,0.012176044684382197
Amount_to_median_ratio,0.011377042217900313
V9,0.011091999981904598
V18,0.010271247726117639
V11,0.0084392101672352
V1,0.008268858665733871
V15,0.007485768422254184
V19,0.00728367629991687
V28,0.007075974159443668
V23,0.006806269420967035
V26,0.0067521501863340265
V25,0.006415838081076621
Amount_scaled,0.0061321817870382545
V21,0.005806572734900875
V8,0.005380807396228556
V20,0.005269678221360383
V13,0.005162701583703136
Hour,0.004366010018057077
V22,0.004101626092429078
V5,0.003945360571807776
V24,0.0037315587231917715
Time_scaled,0.003169840872093792
High_amount_flag,3.2056906343043617e-17
